build_year,build_year_cat,building_state,facades,garden,living_area,locality_name,number_bedrooms,postal_code,price,property_type,province,swimming_pool,terrace
1850.0,1800s,To renovate,3.0,1,225.0,Genappe,4.0,1470.0,245000.0,residence,Walloon Brabant,0,1.0
,,New,,0,89.0,Namur,2.0,5000.0,323552.0,apartment,Namur,0,1.0
,,New,2.0,1,110.0,Edegem,3.0,2650.0,459000.0,residence,Antwerp,0,1.0
,,nan,2.0,1,,Halle,3.0,1500.0,269000.0,residence,Flemish Brabant,0,1.0
,,Excellent,,1,180.0,Florenville,2.0,6820.0,295000.0,villa,Luxembourg,0,1.0
2024.0,2020s,New,3.0,1,309.0,Orp-le-Grand,4.0,1350.0,435800.0,residence,Walloon Brabant,0,1.0
,,New,2.0,1,131.0,Aalst,3.0,9300.0,467981.0,duplex,East Flanders,0,1.0
,,nan,3.0,1,144.0,Glons,3.0,4690.0,270000.0,residence,Liège,0,1.0
,,Normal,2.0,0,169.0,Ougrée,4.0,4102.0,195000.0,residence,Liège,0,0.0
1973.0,1970s,To renovate,2.0,0,90.0,Hasselt,2.0,3500.0,199000.0,apartment,Limburg,0,0.0
2025.0,2020s,New,3.0,1,170.0,Astene,4.0,9800.0,437000.0,residence,East Flanders,0,1.0
1870.0,1800s,Excellent,3.0,1,275.0,Falaën,4.0,5522.0,425000.0,residence,Namur,0,1.0
1938.0,1930s,nan,2.0,1,391.0,Tongeren,7.0,3700.0,595000.0,residence,Limburg,0,1.0
,,nan,,0,57.0,Hastière-Lavaux,2.0,5540.0,119900.0,residence,Namur,0,1.0
1918.0,1910s,Normal,4.0,1,,Limerlé,7.0,6670.0,450000.0,residence,Luxembourg,1,1.0
1900.0,1900s,To renovate,2.0,1,185.0,Appelterre-Eichem,3.0,9400.0,349000.0,residence,East Flanders,0,1.0
,,New,3.0,0,108.0,Herenthout,2.0,2270.0,289000.0,apartment,Antwerp,0,1.0
1994.0,1990s,Normal,4.0,1,128.0,Itterbeek,4.0,1701.0,619000.0,residence,Flemish Brabant,0,1.0
1971.0,1970s,Normal,4.0,1,210.0,Olen,5.0,2250.0,440000.0,residence,Antwerp,0,1.0
2022.0,2020s,nan,4.0,0,49.0,Heure,2.0,5377.0,210000.0,chalet,Namur,0,1.0
